API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Apr 14 11:00:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
 X =-1.454570510991585E+08 Y =-3.538053374987333E+07 Z =-1.107643406994268E+04
2461134.290653935 = A.D. 2026-Apr-03 18:58:32.5000 TDB 
 X =-1.454351210674067E+08 Y =-3.549089449007995E+07 Z =-1.159280766309053E+04
2461134.332320602 = A.D. 2026-Apr-03 19:58:32.5000 TDB 
 X =-1.454130383202127E+08 Y =-3.560109689673088E+07 Z =-1.209577569619566E+04
2461134.373987269 = A.D. 2026-Apr-03 20:58:32.5000 TDB 
 X =-1.453908087594524E+08 Y =-3.571114887869951E+07 Z =-1.258612687902525E+04
2461134.415653935 = A.D. 2026-Apr-03 21:58:32.5000 TDB 
 X =-1.453684375828505E+08 Y =-3.582105750945981E+07 Z =-1.306456570852175E+04
2461134.457320602 = A.D. 2026-Apr-03 22:58:32.5000 TDB 
 X =-1.453459293974709E+08 Y =-3.593082914846162E+07 Z =-1.353172490845621E+04
2461134.498987269 = A.D. 2026-Apr-03 23:58:32.5000 TDB 
 X =-1.453232883106956E+08 Y =-3.604046954001565E+07 Z =-1.398817553800344E+04
2461134.540653935 = A.D. 2026-Apr-04 00:58:32.5000 TDB 
 X =-1.453005180040177E+08 Y =-3.614998389499674E+07 Z =-1.443443531980552E+04
2461134.582320602 = A.D. 2026-Apr-04 01:58:32.5000 TDB 
 X =-1.452776217934571E+08 Y =-3.625937695890711E+07 Z =-1.487097555927932E+04
2461134.623987269 = A.D. 2026-Apr-04 02:58:32.5000 TDB 
 X =-1.452546026794491E+08 Y =-3.636865306900528E+07 Z =-1.529822693814151E+04
2461134.665653935 = A.D. 2026-Apr-04 03:58:32.5000 TDB 
 X =-1.452314633883657E+08 Y =-3.647781620259105E+07 Z =-1.571658440004103E+04
2461134.707320602 = A.D. 2026-Apr-04 04:58:32.5000 TDB 
 X =-1.452082064073281E+08 Y =-3.658687001807782E+07 Z =-1.612641129783168E+04
2461134.748987269 = A.D. 2026-Apr-04 05:58:32.5000 TDB 
 X =-1.451848340135892E+08 Y =-3.669581789013797E+07 Z =-1.652804293564521E+04
2461134.790653935 = A.D. 2026-Apr-04 06:58:32.5000 TDB 
 X =-1.451613482994950E+08 Y =-3.680466293994284E+07 Z =-1.692178961140849E+04
2461134.832320602 = A.D. 2026-Apr-04 07:58:32.5000 TDB 
 X =-1.451377511938122E+08 Y =-3.691340806131624E+07 Z =-1.730793924410082E+04
2461134.873987269 = A.D. 2026-Apr-04 08:58:32.5000 TDB 
 X =-1.451140444800562E+08 Y =-3.702205594346248E+07 Z =-1.768675965389796E+04
2461134.915653935 = A.D. 2026-Apr-04 09:58:32.5000 TDB 
 X =-1.450902272992026E+08 Y =-3.713060490480026E+07 Z =-1.805828725529462E+04
2461134.957320602 = A.D. 2026-Apr-04 10:58:32.5000 TDB 
