API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 05:39:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
2461134.582320602 = A.D. 2026-Apr-04 01:58:32.5000 TDB 
 X =-1.455005685377412E+08 Y =-3.630533735212293E+07 Z =-2.740246600794420E+04
2461134.623987269 = A.D. 2026-Apr-04 02:58:32.5000 TDB 
 X =-1.454743920090520E+08 Y =-3.641266507088498E+07 Z =-2.756818955592066E+04
2461134.665653935 = A.D. 2026-Apr-04 03:58:32.5000 TDB 
 X =-1.454481156394469E+08 Y =-3.651995475777364E+07 Z =-2.773140241955407E+04
2461134.707320602 = A.D. 2026-Apr-04 04:58:32.5000 TDB 
 X =-1.454217396325504E+08 Y =-3.662720614300689E+07 Z =-2.789209282631800E+04
2461134.748987269 = A.D. 2026-Apr-04 05:58:32.5000 TDB 
 X =-1.453952641935634E+08 Y =-3.673441895866186E+07 Z =-2.805024921498075E+04
2461134.790653935 = A.D. 2026-Apr-04 06:58:32.5000 TDB 
 X =-1.453686895292438E+08 Y =-3.684159293868102E+07 Z =-2.820586023549549E+04
2461134.832320602 = A.D. 2026-Apr-04 07:58:32.5000 TDB 
 X =-1.453420158478876E+08 Y =-3.694872781887829E+07 Z =-2.835891474880464E+04
2461134.873987269 = A.D. 2026-Apr-04 08:58:32.5000 TDB 
 X =-1.453152433593102E+08 Y =-3.705582333694474E+07 Z =-2.850940182673372E+04
2461134.915653935 = A.D. 2026-Apr-04 09:58:32.5000 TDB 
 X =-1.452883722748275E+08 Y =-3.716287923245423E+07 Z =-2.865731075174920E+04
2461134.957320602 = A.D. 2026-Apr-04 10:58:32.5000 TDB 
 X =-1.452614028072372E+08 Y =-3.726989524686880E+07 Z =-2.880263101681694E+04
2461134.998987269 = A.D. 2026-Apr-04 11:58:32.5000 TDB 
 X =-1.452343351708004E+08 Y =-3.737687112354381E+07 Z =-2.894535232516378E+04
2461135.040653935 = A.D. 2026-Apr-04 12:58:32.5000 TDB 
 X =-1.452071695812227E+08 Y =-3.748380660773300E+07 Z =-2.908546459003538E+04
2461135.082320602 = A.D. 2026-Apr-04 13:58:32.5000 TDB 
 X =-1.451799062556367E+08 Y =-3.759070144659315E+07 Z =-2.922295793452859E+04
2461135.123987269 = A.D. 2026-Apr-04 14:58:32.5000 TDB 
 X =-1.451525454125826E+08 Y =-3.769755538918879E+07 Z =-2.935782269126736E+04
2461135.165653935 = A.D. 2026-Apr-04 15:58:32.5000 TDB 
 X =-1.451250872719910E+08 Y =-3.780436818649650E+07 Z =-2.949004940218478E+04
2461135.207320602 = A.D. 2026-Apr-04 16:58:32.5000 TDB 
 X =-1.450975320551647E+08 Y =-3.791113959140917E+07 Z =-2.961962881823257E+04
2461135.248987269 = A.D. 2026-Apr-04 17:58:32.5000 TDB 
 X =-1.450698799847603E+08 Y =-3.801786935874005E+07 Z =-2.974655189911090E+04
2461135.290653935 = A.D. 2026-Apr-04 18:58:32.5000 TDB 
 X =-1.450421312847711E+08 Y =-3.812455724522652E+07 Z =-2.987080981295928E+04
2461135.332320602 = A.D. 2026-Apr-04 19:58:32.5000 TDB 
 X =-1.450142861805089E+08 Y =-3.823120300953383E+07 Z =-2.999239393605664E+04
2461135.373987269 = A.D. 2026-Apr-04 20:58:32.5000 TDB 
 X =-1.449863448985871E+08 Y =-3.833780641225861E+07 Z =-3.011129585248791E+04
2461135.415653935 = A.D. 2026-Apr-04 21:58:32.5000 TDB 
 X =-1.449583076669025E+08 Y =-3.844436721593216E+07 Z =-3.022750735384971E+04
2461135.457320602 = A.D. 2026-Apr-04 22:58:32.5000 TDB 
 X =-1.449301747146187E+08 Y =-3.855088518502364E+07 Z =-3.034102043887973E+04
2461135.498987269 = A.D. 2026-Apr-04 23:58:32.5000 TDB 
 X =-1.449019462721486E+08 Y =-3.865736008594313E+07 Z =-3.045182731311955E+04
2461135.540653935 = A.D. 2026-Apr-05 00:58:32.5000 TDB 
 X =-1.448736225711375E+08 Y =-3.876379168704440E+07 Z =-3.055992038857564E+04
2461135.582320602 = A.D. 2026-Apr-05 01:58:32.5000 TDB 
 X =-1.448452038444461E+08 Y =-3.887017975862769E+07 Z =-3.066529228332825E+04
2461135.623987269 = A.D. 2026-Apr-05 02:58:32.5000 TDB 
 X =-1.448166903261341E+08 Y =-3.897652407294224E+07 Z =-3.076793582118116E+04
2461135.665653935 = A.D. 2026-Apr-05 03:58:32.5000 TDB 
 X =-1.447880822514432E+08 Y =-3.908282440418872E+07 Z =-3.086784403127059E+04
2461135.707320602 = A.D. 2026-Apr-05 04:58:32.5000 TDB 
 X =-1.447593798567808E+08 Y =-3.918908052852148E+07 Z =-3.096501014768519E+04
2461135.748987269 = A.D. 2026-Apr-05 05:58:32.5000 TDB 
 X =-1.447305833797036E+08 Y =-3.929529222405072E+07 Z =-3.105942760905810E+04
2461135.790653935 = A.D. 2026-Apr-05 06:58:32.5000 TDB 
 X =-1.447016930589016E+08 Y =-3.940145927084445E+07 Z =-3.115109005818143E+04
2461135.832320602 = A.D. 2026-Apr-05 07:58:32.5000 TDB 
 X =-1.446727091341818E+08 Y =-3.950758145093045E+07 Z =-3.123999134159833E+04
2461135.873987269 = A.D. 2026-Apr-05 08:58:32.5000 TDB 
 X =-1.446436318464523E+08 Y =-3.961365854829797E+07 Z =-3.132612550917082E+04
2461135.915653935 = A.D. 2026-Apr-05 09:58:32.5000 TDB 
 X =-1.446144614377067E+08 Y =-3.971969034889936E+07 Z =-3.140948681367747E+04
2461135.957320602 = A.D. 2026-Apr-05 10:58:32.5000 TDB 
 X =-1.445851981510085E+08 Y =-3.982567664065164E+07 Z =-3.149006971038505E+04
2461135.998987269 = A.D. 2026-Apr-05 11:58:32.5000 TDB 
 X =-1.445558422304754E+08 Y =-3.993161721343786E+07 Z =-3.156786885663494E+04
2461136.040653935 = A.D. 2026-Apr-05 12:58:32.5000 TDB 
 X =-1.445263939212640E+08 Y =-4.003751185910841E+07 Z =-3.164287911138684E+04
2461136.082320602 = A.D. 2026-Apr-05 13:58:32.5000 TDB 
 X =-1.444968534695549E+08 Y =-4.014336037148231E+07 Z =-3.171509553478099E+04
2461136.123987269 = A.D. 2026-Apr-05 14:58:32.5000 TDB 
 X =-1.444672211225370E+08 Y =-4.024916254634815E+07 Z =-3.178451338772103E+04
2461136.165653935 = A.D. 2026-Apr-05 15:58:32.5000 TDB 
 X =-1.444374971283937E+08 Y =-4.035491818146523E+07 Z =-3.185112813141011E+04
2461136.207320602 = A.D. 2026-Apr-05 16:58:32.5000 TDB 
 X =-1.444076817362868E+08 Y =-4.046062707656440E+07 Z =-3.191493542692997E+04
2461136.248987269 = A.D. 2026-Apr-05 17:58:32.5000 TDB 
 X =-1.443777751963429E+08 Y =-4.056628903334892E+07 Z =-3.197593113473058E+04
2461136.290653935 = A.D. 2026-Apr-05 18:58:32.5000 TDB 
 X =-1.443477777596385E+08 Y =-4.067190385549519E+07 Z =-3.203411131425016E+04
2461136.332320602 = A.D. 2026-Apr-05 19:58:32.5000 TDB 
 X =-1.443176896781860E+08 Y =-4.077747134865342E+07 Z =-3.208947222342901E+04
2461136.373987269 = A.D. 2026-Apr-05 20:58:32.5000 TDB 
 X =-1.442875112049190E+08 Y =-4.088299132044820E+07 Z =-3.214201031824574E+04
2461136.415653935 = A.D. 2026-Apr-05 21:58:32.5000 TDB 
 X =-1.442572425936787E+08 Y =-4.098846358047904E+07 Z =-3.219172225226834E+04
2461136.457320602 = A.D. 2026-Apr-05 22:58:32.5000 TDB 
 X =-1.442268840991999E+08 Y =-4.109388794032079E+07 Z =-3.223860487621091E+04
2461136.498987269 = A.D. 2026-Apr-05 23:58:32.5000 TDB 
 X =-1.441964359770975E+08 Y =-4.119926421352410E+07 Z =-3.228265523743443E+04
2461136.540653935 = A.D. 2026-Apr-06 00:58:32.5000 TDB 
 X =-1.441658984838523E+08 Y =-4.130459221561561E+07 Z =-3.232387057953887E+04
2461136.582320602 = A.D. 2026-Apr-06 01:58:32.5000 TDB 
 X =-1.441352718767984E+08 Y =-4.140987176409832E+07 Z =-3.236224834189564E+04
2461136.623987269 = A.D. 2026-Apr-06 02:58:32.5000 TDB 
 X =-1.441045564141090E+08 Y =-4.151510267845181E+07 Z =-3.239778615912050E+04
2461136.665653935 = A.D. 2026-Apr-06 03:58:32.5000 TDB 
 X =-1.440737523547840E+08 Y =-4.162028478013241E+07 Z =-3.243048186071590E+04
2461136.707320602 = A.D. 2026-Apr-06 04:58:32.5000 TDB 
 X =-1.440428599586367E+08 Y =-4.172541789257322E+07 Z =-3.246033347056061E+04
2461136.748987269 = A.D. 2026-Apr-06 05:58:32.5000 TDB 
 X =-1.440118794862809E+08 Y =-4.183050184118435E+07 Z =-3.248733920644410E+04
2461136.790653935 = A.D. 2026-Apr-06 06:58:32.5000 TDB 
 X =-1.439808111991181E+08 Y =-4.193553645335286E+07 Z =-3.251149747963622E+04
2461136.832320602 = A.D. 2026-Apr-06 07:58:32.5000 TDB 
 X =-1.439496553593252E+08 Y =-4.204052155844285E+07 Z =-3.253280689442903E+04
2461136.873987269 = A.D. 2026-Apr-06 08:58:32.5000 TDB 
 X =-1.439184122298419E+08 Y =-4.214545698779535E+07 Z =-3.255126624768786E+04
2461136.915653935 = A.D. 2026-Apr-06 09:58:32.5000 TDB 
 X =-1.438870820743581E+08 Y =-4.225034257472844E+07 Z =-3.256687452838942E+04
2461136.957320602 = A.D. 2026-Apr-06 10:58:32.5000 TDB 
